duration,left_e0,left_e1,left_s0,left_s1,left_w0,left_w1,left_w2,right_e0,right_e1,right_s0,right_s1,right_w0,right_w1,right_w2,head_pan,head_nod
500,0.00,1.5,-0.10,0.00,0.75,-1.25,0.00,1.81,1.71,-0.46,-0.20,-0.91,-1.55,-0.28,0.00,0.00
100,0.00,1.5,-0.10,0.00,0.75,-1.25,0.00,1.813,1.981,-0.395,-0.202,-1.979,-1.1,-0.448,0.00,0.00
